"date","stage","props"
"1979-01-01","-25.07","{}"
"1979-01-02","-25.07","{}"
"1979-01-03","-25.07","{}"
"1979-01-04","-25.09","{}"
"1979-01-05","-25.11","{}"
"1979-01-06","-25.15","{}"
"1979-01-07","-25.15","{}"
"1979-01-08","-25.15","{}"
"1979-01-09","-25.12","{}"
"1979-01-10","-25.12","{}"
"1979-01-11","-25.12","{}"
"1979-01-12","-25.11","{}"
"1979-01-13","-25.09","{}"
"1979-01-14","-25.07","{}"
"1979-01-15","-25.03","{}"
"1979-01-16","-25.01","{}"
"1979-01-17","-25.00","{}"
"1979-01-18","-24.95","{}"
"1979-01-19","-24.94","{}"
"1979-01-20","-24.92","{}"
"1979-01-21","-24.91","{}"
"1979-01-22","-24.91","{}"
"1979-01-23","-24.88","{}"
"1979-01-24","-24.85","{}"
"1979-01-25","-24.83","{}"
"1979-01-26","-24.82","{}"
"1979-01-27","-24.80","{}"
"1979-01-28","-24.79","{}"
"1979-01-29","-24.79","{}"
"1979-01-30","-24.77","{}"
"1979-01-31","-24.76","{}"
"1979-02-01","-24.77","{}"
"1979-02-02","-24.76","{}"
"1979-02-03","-24.76","{}"
"1979-02-04","-24.75","{}"
"1979-02-05","-24.75","{}"
"1979-02-06","-24.75","{}"
"1979-02-07","-24.75","{}"
"1979-02-08","-24.71","{}"
"1979-02-09","-24.69","{}"
"1979-02-10","-24.61","{}"
"1979-02-11","-24.55","{}"
"1979-02-12","-24.52","{}"
"1979-02-13","-24.52","{}"
"1979-02-14","-24.52","{}"
"1979-02-15","-24.51","{}"
"1979-02-16","-24.49","{}"
"1979-02-17","-24.49","{}"
"1979-02-18","-24.47","{}"
"1979-02-19","-24.43","{}"
"1979-02-20","-24.43","{}"
"1979-02-21","-24.43","{}"
"1979-02-22","-24.47","{}"
"1979-02-23","-24.50","{}"
"1979-02-24","-24.52","{}"
"1979-02-25","-24.53","{}"
"1979-02-26","-24.54","{}"
"1979-02-27","-24.53","{}"
"1979-02-28","-24.53","{}"
"1979-03-01","-24.88","{}"
"1979-03-02","-24.89","{}"
"1979-03-03","-24.93","{}"
"1979-03-04","-24.94","{}"
"1979-03-05","-25.01","{}"
"1979-03-06","-25.03","{}"
"1979-03-07","-25.01","{}"
"1979-03-08","-25.07","{}"
"1979-03-09","-25.16","{}"
"1979-03-10","-25.21","{}"
"1979-03-11","-25.27","{}"
"1979-03-12","-25.29","{}"
