"date","stage","props"
"1971-01-01","-15.36","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-02","-15.35","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-03","-15.38","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-04","-15.44","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-05","-15.37","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-06","-15.32","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-07","-15.35","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-08","-15.40","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-09","-15.53","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-10","-15.62","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-11","-15.74","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-12","-15.76","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-13","-15.72","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-14","-15.72","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-15","-15.71","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-16","-15.67","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-17","-15.67","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-18","-15.77","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-19","-15.80","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-20","-15.75","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-21","-15.71","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-22","-15.66","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-23","-15.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-24","-15.68","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-25","-15.79","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-26","-15.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-27","-15.81","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-28","-15.84","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-29","-15.86","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-30","-15.88","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-01-31","-15.98","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-01","-16.09","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-02","-16.09","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-03","-15.86","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-04","-15.72","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-05","-15.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-06","-15.58","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-07","-15.59","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-08","-15.70","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-09","-15.78","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-10","-15.70","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-11","-15.58","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-12","-15.51","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-13","-15.51","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-14","-15.58","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-15","-15.64","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-16","-15.70","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-17","-15.66","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-18","-15.56","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-19","-15.44","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-20","-15.41","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-21","-15.44","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-22","-15.54","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1971-02-23","-15.60","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
