"date","stage","props"
"1960-01-01","-22.12","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-02","-21.97","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-03","-21.80","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-04","-21.67","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-05","-21.59","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-06","-21.48","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-07","-21.38","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-08","-21.38","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-09","-21.36","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-10","-21.38","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-11","-21.43","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-12","-21.48","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-13","-21.54","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-14","-21.61","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-15","-21.67","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-16","-21.72","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-17","-21.76","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-18","-21.78","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-19","-21.79","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-20","-21.80","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-21","-21.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-22","-21.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-23","-21.76","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-24","-21.71","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-25","-21.66","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-26","-21.66","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-27","-21.70","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-28","-21.74","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-29","-21.76","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-30","-21.80","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1960-01-31","-21.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
