"date","stage","props"
"1979-01-01","-24.24","{}"
"1979-01-02","-24.22","{}"
"1979-01-03","-24.25","{}"
"1979-01-04","-24.30","{}"
"1979-01-05","-24.34","{}"
"1979-01-06","-24.38","{}"
"1979-01-07","-24.40","{}"
"1979-01-08","-24.40","{}"
"1979-01-09","-24.38","{}"
"1979-01-10","-24.38","{}"
"1979-01-11","-24.38","{}"
"1979-01-12","-24.36","{}"
"1979-01-13","-24.35","{}"
"1979-01-14","-24.31","{}"
"1979-01-15","-24.30","{}"
"1979-01-16","-24.26","{}"
"1979-01-17","-24.22","{}"
"1979-01-18","-24.20","{}"
"1979-01-19","-24.20","{}"
"1979-01-20","-24.18","{}"
"1979-01-21","-24.16","{}"
"1979-01-22","-24.13","{}"
"1979-01-23","-24.11","{}"
"1979-01-24","-24.08","{}"
"1979-01-25","-24.05","{}"
"1979-01-26","-24.04","{}"
"1979-01-27","-24.01","{}"
"1979-01-28","-24.00","{}"
"1979-01-29","-23.98","{}"
"1979-01-30","-23.96","{}"
"1979-01-31","-23.94","{}"
"1979-02-01","-23.94","{}"
"1979-02-02","-23.93","{}"
"1979-02-03","-23.92","{}"
"1979-02-04","-23.92","{}"
"1979-02-05","-23.90","{}"
"1979-02-06","-23.90","{}"
"1979-02-07","-23.88","{}"
"1979-02-08","-23.87","{}"
"1979-02-09","-23.86","{}"
"1979-02-10","-23.86","{}"
"1979-02-11","-23.86","{}"
"1979-02-12","-23.84","{}"
"1979-02-13","-23.84","{}"
"1979-02-14","-23.84","{}"
"1979-02-15","-23.85","{}"
"1979-02-16","-23.86","{}"
"1979-02-17","-23.90","{}"
"1979-02-18","-23.90","{}"
"1979-02-19","-23.92","{}"
"1979-02-20","-23.92","{}"
"1979-02-21","-23.92","{}"
"1979-02-22","-23.94","{}"
"1979-02-23","-23.95","{}"
"1979-02-24","-23.96","{}"
"1979-02-25","-23.98","{}"
"1979-02-26","-23.98","{}"
"1979-02-27","-23.95","{}"
"1979-02-28","-23.96","{}"
"1979-03-01","-23.95","{}"
"1979-03-02","-23.95","{}"
"1979-03-03","-23.96","{}"
"1979-03-04","-23.98","{}"
"1979-03-05","-24.00","{}"
"1979-03-06","-24.01","{}"
"1979-03-07","-24.06","{}"
"1979-03-08","-24.19","{}"
"1979-03-09","-24.34","{}"
"1979-03-10","-24.43","{}"
"1979-03-11","-24.48","{}"
"1979-03-12","-24.50","{}"
"1979-03-13","-24.48","{}"
"1979-03-14","-24.48","{}"
"1979-03-15","-24.46","{}"
"1979-03-16","-24.34","{}"
"1979-03-17","-24.29","{}"
"1979-03-18","-24.28","{}"
"1979-03-19","-24.19","{}"
"1979-03-20","-24.05","{}"
"1979-03-21","-23.96","{}"
"1979-03-22","-23.95","{}"
"1979-03-23","-23.94","{}"
"1979-03-24","-23.94","{}"
"1979-03-25","-23.94","{}"
"1979-03-26","-23.95","{}"
"1979-03-27","-23.97","{}"
"1979-03-28","-23.99","{}"
"1979-03-29","-24.05","{}"
"1979-03-30","-24.10","{}"
"1979-03-31","-24.14","{}"
"1979-04-01","-24.16","{}"
"1979-04-02","-24.18","{}"
"1979-04-03","-24.24","{}"
"1979-04-04","-24.26","{}"
"1979-04-05","-24.30","{}"
"1979-04-06","-24.32","{}"
"1979-04-07","-24.36","{}"
"1979-04-08","-24.40","{}"
"1979-04-09","-24.45","{}"
"1979-04-10","-24.56","{}"
"1979-04-11","-24.58","{}"
"1979-04-12","-24.65","{}"
"1979-04-13","-24.68","{}"
"1979-04-14","-24.68","{}"
"1979-04-15","-24.68","{}"
"1979-04-16","-24.65","{}"
"1979-04-17","-24.64","{}"
"1979-04-18","-24.66","{}"
"1979-04-19","-24.67","{}"
"1979-04-20","-24.69","{}"
"1979-04-21","-24.71","{}"
"1979-04-22","-24.69","{}"
