"date","stage","props"
"1973-01-01","-12.12","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-02","-12.11","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-03","-12.03","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-04","-12.04","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-05","-12.08","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-06","-12.02","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-07","-12.10","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-08","-12.22","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-09","-12.20","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-10","-12.19","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-11","-11.82","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-12","-11.52","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-13","-11.17","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-14","-11.48","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-15","-11.76","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-16","-11.69","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-17","-11.50","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-18","-11.10","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-19","-10.56","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-20","-10.10","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-21","-10.04","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-22","-9.84","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-23","-9.12","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-24","-8.66","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-25","-8.48","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-26","-8.46","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-27","-8.86","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-28","-9.41","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-29","-9.69","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-30","-9.51","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-01-31","-9.04","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-02-01","-8.54","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-02-02","-8.27","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-02-03","-8.70","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
"1973-02-04","-9.27","{8e024c6e-2cad-11ec-be51-ac1f6bb548d2}"
