1998-04-01,8130,0
1998-04-02,7900,0
1998-04-03,7370,0
1998-04-04,7020,0
1998-04-05,6970,0
1998-04-06,8160,0
1998-04-07,7310,0
1998-04-08,7660,0
1998-04-09,7460,0
1998-04-10,7660,0
1998-04-11,6620,0
1998-04-12,6030,0
1998-04-13,7420,0
1998-04-14,8250,0
1998-04-15,7570,0
1998-04-16,7730,0
1998-04-17,7410,0
1998-04-18,6920,0
1998-04-19,5950,0
1998-04-20,7870,0
1998-04-21,8400,0
1998-04-22,8770,0
1998-04-23,8480,0
1998-04-24,8730,0
1998-04-25,8430,0
1998-04-26,7070,0
1998-04-27,8000,0
1998-04-28,8090,0
1998-04-29,8030,0
1998-04-30,8050,0
1998-05-01,8930,0
1998-05-02,9920,0
1998-05-03,10900,0
1998-05-04,12160,0
1998-05-05,14050,810
1998-05-06,16160,2580
1998-05-07,17980,3730
1998-05-08,21050,6480
1998-05-09,24020,9330
1998-05-10,25990,11440
1998-05-11,26060,11510
1998-05-12,26170,11640
1998-05-13,26090,11540
1998-05-14,26020,11470
1998-05-15,25990,11440
1998-05-16,25940,11420
1998-05-17,25960,11410
1998-05-18,25920,11400
1998-05-19,25900,11370
1998-05-20,25010,10560
1998-05-21,24000,9560
1998-05-22,24050,9640
1998-05-23,24060,9560
1998-05-24,24060,9490
1998-05-25,23600,9020
1998-05-26,22500,7900
1998-05-27,22110,7440
1998-05-28,22190,7470
1998-05-29,22220,7490
1998-05-30,22190,7980
1998-05-31,22250,7510
1998-06-01,22060,7300
1998-06-02,21970,7510
1998-06-03,22020,7220
1998-06-04,21970,7210
1998-06-05,21940,7200
1998-06-06,21900,7180
1998-06-07,21900,7160
1998-06-08,21890,7160
1998-06-09,21900,7160
1998-06-10,21900,7200
1998-06-11,21920,7270
1998-06-12,21900,7260
1998-06-13,21030,6330
1998-06-14,20000,5280
1998-06-15,19070,4290
1998-06-16,18040,3240
1998-06-17,16980,2230
1998-06-18,16000,1340
1998-06-19,14980,810
1998-06-20,14060,690
1998-06-21,13060,0
1998-06-22,12000,0
1998-06-23,10940,0
1998-06-24,9990,0
1998-06-25,9160,0
1998-06-26,7940,0
1998-06-27,6960,0
1998-06-28,5930,0
1998-06-29,6070,0
1998-06-30,6280,0
1998-07-01,6160,0
